BLOQUE;MICROCUENCA;DISTRITO;PROVINCIA;AREA_HA;PCT_MAYOR_0_6139;PCT_0_4976_0_6139;PCT_0_3813_0_4976;PCT_0_2650_0_3813;PCT_MENOR_IGUAL_0_2650;HA_MAYOR_0_6139;HA_0_4976_0_6139;HA_0_3813_0_4976;HA_0_2650_0_3813;HA_MENOR_IGUAL_0_2650;PCT_BAJO_UMBRAL_0_4976;HA_BAJO_UMBRAL_0_4976;PCT_SOBRE_UMBRAL_0_4976;CLASE_MODAL;PIXELES;POLIG_EN_MAPA;MAPA_PNG
M27B1;C1096-Q9557;CHULUCANAS;MORROPON;447.078;0.01;3.01;38.0;50.08;8.9;0.042;13.466;169.909;223.883;39.778;96.98;433.569;3.02;Vigor muy bajo;1285454;1;MSAVI M27B1.png
M28B2;C1086-Q9575;YAMANGO;MORROPON;89.654;2.95;34.57;56.85;5.33;0.3;2.647;30.995;50.965;4.78;0.268;62.48;56.012;37.52;Vigor bajo;685616;2;MSAVI M28B2.png
M28B3;C1086-Q9575;YAMANGO;MORROPON;58.213;15.16;35.82;39.15;9.77;0.09;8.827;20.854;22.792;5.687;0.053;49.01;28.532;50.99;Vigor bajo;1304968;1;MSAVI M28B3.png
M28B4;C1086-Q9575;YAMANGO;MORROPON;282.227;0.79;24.16;37.62;37.27;0.16;2.221;68.198;106.164;105.189;0.455;75.05;211.808;24.95;Vigor bajo;1995783;1;MSAVI M28B4.png
M30B5;C1081-Q9591;HUANCABAMBA;HUANCABAMBA;90.793;27.04;36.1;36.49;0.37;0.0;24.55;32.775;33.134;0.334;0.0;36.86;33.468;63.14;Vigor bajo;988114;2;M30B5.png
M32B3;C1086-Q9569;MORROPON;MORROPON;50.906;0.0;5.97;45.13;46.59;2.31;0.0;3.039;22.973;23.717;1.178;94.03;47.868;5.97;Vigor muy bajo;2428242;2;MSAVI M32B3.png
M36B2;C1086-Q9576;SANTA CATALINA DE MOSSA;MORROPON;28.073;38.07;56.88;4.36;0.69;0.0;10.687;15.969;1.223;0.195;0.0;5.05;1.417;94.95;Vigor moderado;1460233;2;MSAVI M36B2.png
M6B10;C1077-Q9566;BUENOS AIRES;MORROPON;248.48;0.0;0.16;18.41;50.77;30.66;0.0;0.397;45.737;126.161;76.186;99.84;248.084;0.16;Vigor muy bajo;1905266;1;MSAVI M6B10.png
M17B10;C1096-Q9556;FRIAS;AYABACA;75.175;5.84;20.11;70.86;3.19;0.0;4.392;15.115;53.271;2.397;0.0;74.05;55.668;25.95;Vigor bajo;2364894;2;M17B10.png
M6B2-1;C1077-Q9566;BUENOS AIRES;MORROPON;514.074;0.03;0.99;22.1;64.76;12.12;0.157;5.064;113.605;332.918;62.331;98.98;508.853;1.02;Vigor muy bajo;614166;2;MSAVI M6B2-1.png
M6B2-2;C1077-Q9566;BUENOS AIRES;MORROPON;332.048;0.2;0.78;6.98;64.9;27.15;0.654;2.589;23.17;215.5;90.136;99.02;328.806;0.98;Vigor muy bajo;1124150;2;MSAVI M6B2-2.png
M6B2-3;C1077-Q9566;BUENOS AIRES;MORROPON;160.484;0.24;9.39;54.21;33.61;2.55;0.378;15.07;87.002;53.934;4.1;90.37;145.036;9.63;Vigor bajo;2435689;1;MSAVI M6B2-3.png
